상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
21652589,퓨리나사료,,D,소매,D25,기타판매업,D25A25,사료소매,G47211,곡물 소매업,50,제주특별자치도,50110,제주시,5011025300,애월읍,5011025342,애월읍,5.01E+18,1,대지,1386,,제주특별자치도 제주시 애월읍 유수암리 1386,5.01E+11,제주특별자치도 제주시 애월읍 유수암로,213,,5.01E+24,,제주특별자치도 제주시 애월읍 유수암로 213,695916,63067,,1,,126.4033055,33.42611432
15498703,가르텐비어,제주노형점,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,50,제주특별자치도,50110,제주시,5011066000,노형동,5011012200,노형동,5.01E+18,1,대지,1054,3,제주특별자치도 제주시 노형동 1054-3,5.01E+11,제주특별자치도 제주시 월랑로10길,2,,5.01E+24,,제주특별자치도 제주시 월랑로10길 2,690803,63097,,,,126.4766308,33.48901964
23922903,마이티스쿨보습학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,50,제주특별자치도,50110,제주시,5011060000,화북동,5011011100,화북일동,5.01E+18,1,대지,1989,19,제주특별자치도 제주시 화북일동 1989-19,5.01E+11,제주특별자치도 제주시 진남로8길,3,,5.01E+24,정민빌라,제주특별자치도 제주시 진남로8길 3,690839,63289,A,,,126.5673215,33.51933963
20255394,어머니몸국,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,50,제주특별자치도,50110,제주시,5011025900,조천읍,5011025923,조천읍,5.01E+18,1,대지,2360,2,제주특별자치도 제주시 조천읍 조천리 2360-2,5.01E+11,제주특별자치도 제주시 조천읍 신북로,245,,5.01E+24,,제주특별자치도 제주시 조천읍 신북로 245,695964,63331,,,,126.638489,33.53738072
24421467,우석스포츠,,D,소매,D14,운동/경기용품소매,D14A01,운동/경기용품,G47631,운동 및 경기용품 소매업,50,제주특별자치도,50110,제주시,5011054000,이도2동,5011010400,이도이동,5.01E+18,1,대지,1986,4,제주특별자치도 제주시 이도이동 1986-4,5.01E+11,제주특별자치도 제주시 중앙로,377,,5.01E+24,,제주특별자치도 제주시 중앙로 377,690851,63230,,,,126.5398173,33.48875257
21635702,탑입시학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,50,제주특별자치도,50110,제주시,5011060000,화북동,5011011100,화북일동,5.01E+18,1,대지,1239,6,제주특별자치도 제주시 화북일동 1239-6,5.01E+11,제주특별자치도 제주시 일주동로,241,,5.01E+24,,제주특별자치도 제주시 일주동로 241,690838,63288,,3,,126.5710163,33.51982409
21669262,참사랑피아노,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,50,제주특별자치도,50110,제주시,5011055000,삼도1동,5011010500,삼도일동,5.01E+18,1,대지,509,9,제주특별자치도 제주시 삼도일동 509-9,5.01E+11,제주특별자치도 제주시 서사로14길,32,,5.01E+24,,제주특별자치도 제주시 서사로14길 32,690812,63176,,1,,126.5167407,33.50369702
21655424,우리산업,,D,소매,D01,음/식료품소매,D01A02,김치판매,G47219,기타 식료품 소매업,50,제주특별자치도,50130,서귀포시,5013025000,대정읍,5013025025,대정읍,5.01E+18,1,대지,551,11,제주특별자치도 서귀포시 대정읍 일과리 551-11,5.01E+11,제주특별자치도 서귀포시 대정읍 일주서로3000번길,155,13,5.01E+24,,제주특별자치도 서귀포시 대정읍 일주서로3000번길 155-13,699932,63504,,1,,126.2291633,33.25829006
28520831,제주바다목적체험관,,F,생활서비스,F07,물품기기대여,F07A02,오락/스포츠용품대여,L69210,스포츠 및 레크레이션 용품 임대업,50,제주특별자치도,50110,제주시,5011031000,한경면,5011031028,한경면,5.01E+18,1,대지,542,9,제주특별자치도 제주시 한경면 신창리 542-9,5.01E+11,제주특별자치도 제주시 한경면 한경해안로,563,2,5.01E+24,,제주특별자치도 제주시 한경면 한경해안로 563-2,695944,63002,,,,126.1793947,33.34606611
25193949,궁,,D,소매,D16,화장품소매,D16A01,화장품판매점,G47813,화장품 및 방향제 소매업,50,제주특별자치도,50110,제주시,5011066000,노형동,5011012200,노형동,5.01E+18,1,대지,920,5,제주특별자치도 제주시 노형동 920-5,5.01E+11,제주특별자치도 제주시 1100로,3330,,5.01E+24,,제주특별자치도 제주시 1100로 3330,690802,63084,,,,126.4809809,33.483294
21650706,우주헬스타운,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,50,제주특별자치도,50130,서귀포시,5013058000,서홍동,5013010600,서홍동,5.01E+18,1,대지,311,3,제주특별자치도 서귀포시 서홍동 311-3,5.01E+11,제주특별자치도 서귀포시 중앙로,163,,5.01E+24,한라프라자,제주특별자치도 서귀포시 중앙로 163,697850,63584,,,,126.559035,33.25935922
28508430,현의산책,,O,숙박,O03,캠프/별장/펜션,O03A01,캠프/별장/펜션,I55119,기타 관광숙박시설 운영업,50,제주특별자치도,50130,서귀포시,5013025900,성산읍,5013025926,성산읍,5.01E+18,1,대지,128,1,제주특별자치도 서귀포시 성산읍 온평리 128-1,5.01E+11,제주특별자치도 서귀포시 성산읍 온평관전로59번길,49,,5.01E+24,,제주특별자치도 서귀포시 성산읍 온평관전로59번길 49,699905,63633,,,,126.9060689,33.41461712
24691834,119타이어,서귀포점,D,소매,D23,자동차/자동차용품,D23A04,타이어판매,G45211,자동차 타이어 및 튜브 판매업,50,제주특별자치도,50130,서귀포시,5013057000,동홍동,5013010500,동홍동,5.01E+18,1,대지,68,7,제주특별자치도 서귀포시 동홍동 68-7,5.01E+11,제주특별자치도 서귀포시 일주동로,8533,,5.01E+24,,제주특별자치도 서귀포시 일주동로 8533,697834,63589,,,,126.5766496,33.25449504
24560995,월드렌트카,,F,생활서비스,F07,물품기기대여,F07A11,렌트카,L69110,자동차 임대업,50,제주특별자치도,50110,제주시,5011069000,도두동,5011012700,도두일동,5.01E+18,1,대지,2248,1,제주특별자치도 제주시 도두일동 2248-1,5.01E+11,제주특별자치도 제주시 오일장중길,39,,5.01E+24,,제주특별자치도 제주시 오일장중길 39,690241,63116,,,,126.4721977,33.49637593
21672249,제주감협,,D,소매,D03,종합소매점,D03B06,구판장/직판장,G47129,기타 음·식료품 위주 종합 소매업,50,제주특별자치도,50130,서귀포시,5013025300,남원읍,5013025326,남원읍,5.01E+18,1,대지,1555,,제주특별자치도 서귀포시 남원읍 신흥리 1555,5.01E+11,제주특별자치도 서귀포시 남원읍 태신로130번길,170,,5.01E+24,제주감귤농협제2유통센터,제주특별자치도 서귀포시 남원읍 태신로130번길 170,699947,63616,,,,126.7439967,33.31273133
20489847,나무,,Q,음식,Q12,커피점/카페,Q12A06,전통찻집/인삼찻집,I56220,비알콜 음료점업,50,제주특별자치도,50110,제주시,5011025900,조천읍,5011025930,조천읍,5.01E+18,1,대지,468,12,제주특별자치도 제주시 조천읍 선흘리 468-12,5.01E+11,제주특별자치도 제주시 조천읍 선교로,560,,5.01E+24,,제주특별자치도 제주시 조천읍 선교로 560,695967,63341,,1,,126.710438,33.45618638
24381271,해륙개발산업사,,D,소매,D07,가정/주방/인테리어,D07A15,유리/페인트/철물건축자재,G47519,"페인트, 유리 및 기타 건설자재 소매업",50,제주특별자치도,50110,제주시,5011055000,삼도1동,5011010500,삼도일동,5.01E+18,1,대지,578,2,제주특별자치도 제주시 삼도일동 578-2,5.01E+11,제주특별자치도 제주시 서광로20길,3,6,5.01E+24,,제주특별자치도 제주시 서광로20길 3-6,690846,63186,,,,126.522514,33.49896964
21657037,서부철물건재사,,D,소매,D21,철물/난방/건설자재소매,D21A06,철물/건설자재소매,G47511,철물 및 난방용구 소매업,50,제주특별자치도,50110,제주시,5011058000,용담2동,5011010900,용담이동,5.01E+18,1,대지,359,129,제주특별자치도 제주시 용담이동 359-129,5.01E+11,제주특별자치도 제주시 용두암길,64,,5.01E+24,,제주특별자치도 제주시 용두암길 64,690821,63152,,1,,126.5134665,33.51203336
20753913,잉글리쉬무무,동광보습학원,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,50,제주특별자치도,50110,제주시,5011052000,일도2동,5011010200,일도이동,5.01E+18,1,대지,85,3,제주특별자치도 제주시 일도이동 85-3,5.01E+11,제주특별자치도 제주시 연신로,17,,5.01E+24,,제주특별자치도 제주시 연신로 17,690831,63261,,3,,126.5451277,33.49934545
24890404,소심한책방,,D,소매,D13,책/서적/도서,D13A01,서점,G47611,서적 및 잡지류 소매업,50,제주특별자치도,50110,제주시,5011025600,구좌읍,5011025632,구좌읍,5.01E+18,1,대지,738,,제주특별자치도 제주시 구좌읍 종달리 738,5.01E+11,제주특별자치도 제주시 구좌읍 종달동길,29,10,5.01E+24,,제주특별자치도 제주시 구좌읍 종달동길 29-10,695976,63364,,,,126.9033367,33.49163745
24295780,사랑방고가구,,D,소매,D15,가구소매,D15A01,일반가구소매,G47520,가구 소매업,50,제주특별자치도,50130,서귀포시,5013053000,중앙동,5013010100,서귀동,5.01E+18,1,대지,273,2,제주특별자치도 서귀포시 서귀동 273-2,5.01E+11,제주특별자치도 서귀포시 중앙로42번길,36,,5.01E+24,,제주특별자치도 서귀포시 중앙로42번길 36,697842,63591,,,,126.5654642,33.24880354
23505132,우도회초밥,,Q,음식,Q03,일식/수산물,Q03A03,음식점-초밥전문,I56113,일식 음식점업,50,제주특별자치도,50110,제주시,5011033000,우도면,5011033021,우도면,5.01E+18,1,대지,2427,3,제주특별자치도 제주시 우도면 연평리 2427-3,5.01E+11,제주특별자치도 제주시 우도면 우도해안길,336,,5.01E+24,,제주특별자치도 제주시 우도면 우도해안길 336,695980,63365,,,,126.9438769,33.50814681
21659745,강정코사마트,,D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,50,제주특별자치도,50130,서귀포시,5013060000,대천동,5013011600,강정동,5.01E+18,1,대지,4445,7,제주특별자치도 서귀포시 강정동 4445-7,5.01E+11,제주특별자치도 서귀포시 말질로,178,,5.01E+24,강정코사마트,제주특별자치도 서귀포시 말질로 178,697829,63563,,1,,126.4798248,33.23581288
21661349,기러기왕수학교실,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,50,제주특별자치도,50110,제주시,5011054000,이도2동,5011010400,이도이동,5.01E+18,1,대지,1024,3,제주특별자치도 제주시 이도이동 1024-3,5.01E+11,제주특별자치도 제주시 연삼로,386,1,5.01E+24,,제주특별자치도 제주시 연삼로 386-1,690826,63222,,2,,126.5332592,33.49417472
15569769,광동헬스,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,50,제주특별자치도,50110,제주시,5011065000,연동,5011013700,연동,5.01E+18,1,대지,262,31,제주특별자치도 제주시 연동 262-31,5.01E+11,제주특별자치도 제주시 신광로8길,7,,5.01E+24,연동태림아파트,제주특별자치도 제주시 신광로8길 7,690813,63131,,3,,126.4889566,33.48682649
24937224,탐나라망고농장,,D,소매,D01,음/식료품소매,D01A13,청과물소매,G47214,과실 및 채소 소매업,50,제주특별자치도,50130,서귀포시,5013025000,대정읍,5013025027,대정읍,5.01E+18,1,대지,1441,1,제주특별자치도 서귀포시 대정읍 신평리 1441-1,5.01E+11,제주특별자치도 서귀포시 대정읍 일주서로3000번길,294,11,5.01E+24,상하의망고농장,제주특별자치도 서귀포시 대정읍 일주서로3000번길 294-11,699931,63516,,,,126.2421898,33.26636353
20543750,샛별문구구내,,D,소매,D08,사무/문구/컴퓨터,D08A01,사무/문구용품,G47612,문구용품 소매업,50,제주특별자치도,50110,제주시,5011060000,화북동,5011011100,화북일동,5.01E+18,1,대지,3992,3,제주특별자치도 제주시 화북일동 3992-3,5.01E+11,제주특별자치도 제주시 진서로1길,11,,5.01E+24,,제주특별자치도 제주시 진서로1길 11,690061,63293,,1,,126.5626185,33.51929416
26586581,G&SEA,,D,소매,D14,운동/경기용품소매,D14A01,운동/경기용품,G47631,운동 및 경기용품 소매업,50,제주특별자치도,50110,제주시,5011025300,애월읍,5011025334,애월읍,5.01E+18,1,대지,1819,37,제주특별자치도 제주시 애월읍 애월리 1819-37,5.01E+11,제주특별자치도 제주시 애월읍 애월해안로,56,,5.01E+24,,제주특별자치도 제주시 애월읍 애월해안로 56,695913,63043,,,,126.3203503,33.46709368
24024574,제주도수출육가공협의회,,D,소매,D01,음/식료품소매,D01A06,육류소매,G47212,육류 소매업,50,제주특별자치도,50130,서귀포시,5013025000,대정읍,5013025027,대정읍,5.01E+18,1,대지,1491,,제주특별자치도 서귀포시 대정읍 신평리 1491,5.01E+11,제주특별자치도 서귀포시 대정읍 일주서로3000번길,259,,5.01E+24,,제주특별자치도 서귀포시 대정읍 일주서로3000번길 259,699931,63516,,,,126.2377843,33.26502996
21663366,동방네온,,F,생활서비스,F12,광고/인쇄,F12A02,간판제작종합,C33910,간판 및 광고물 제조업,50,제주특별자치도,50110,제주시,5011060000,화북동,5011011200,화북이동,5.01E+18,1,대지,3598,,제주특별자치도 제주시 화북이동 3598,5.01E+11,제주특별자치도 제주시 거로남3길,15,,5.01E+24,,제주특별자치도 제주시 거로남3길 15,690061,63296,,1,,126.560281,33.51095447
28503452,봄꽃게스트하우스,,O,숙박,O05,민박/하숙,O05A01,민박/하숙,,,50,제주특별자치도,50130,서귀포시,5013025000,대정읍,5013025022,대정읍,5.01E+18,1,대지,1046,1,제주특별자치도 서귀포시 대정읍 하모리 1046-1,5.01E+11,제주특별자치도 서귀포시 대정읍 신영로,71,3,5.01E+24,,제주특별자치도 서귀포시 대정읍 신영로 71-3,699935,63507,,1,,126.2505634,33.220998
21663828,한림공인중개사,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,50,제주특별자치도,50110,제주시,5011025000,한림읍,5011025024,한림읍,5.01E+18,1,대지,1035,3,제주특별자치도 제주시 한림읍 한림리 1035-3,5.01E+11,제주특별자치도 제주시 한림읍 명랑로,24,,5.01E+24,,제주특별자치도 제주시 한림읍 명랑로 24,695932,63029,,1,,126.2673798,33.41430981
21664426,한국해동검도용문본관,,R,학문/교육,R07,학원-예능취미체육,R07A22,검도도장,P85611,스포츠 교육기관,50,제주특별자치도,50110,제주시,5011058000,용담2동,5011010900,용담이동,5.01E+18,1,대지,358,2,제주특별자치도 제주시 용담이동 358-2,5.01E+11,제주특별자치도 제주시 용담로,98,10,5.01E+24,,제주특별자치도 제주시 용담로 98-10,690821,63156,,2,,126.5122622,33.51134272
24822684,한라산청정둘레벌꿀,,D,소매,D01,음/식료품소매,D01A13,청과물소매,G47214,과실 및 채소 소매업,50,제주특별자치도,50130,서귀포시,5013025300,남원읍,5013025329,남원읍,5.01E+18,1,대지,973,1,제주특별자치도 서귀포시 남원읍 신례리 973-1,5.01E+11,제주특별자치도 서귀포시 남원읍 신례로,266,,5.01E+24,,제주특별자치도 서귀포시 남원읍 신례로 266,699943,63608,,,,126.630732,33.28837214
21665493,세림공업사,,F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,50,제주특별자치도,50110,제주시,5011025600,구좌읍,5011025628,구좌읍,5.01E+18,1,대지,1013,1,제주특별자치도 제주시 구좌읍 세화리 1013-1,5.01E+11,제주특별자치도 제주시 구좌읍 세화남3길,4,,5.01E+24,,제주특별자치도 제주시 구좌읍 세화남3길 4,695973,63352,,1,,126.8540882,33.51666255
21649105,천지개발,,F,생활서비스,F05,인력/고용/용역알선,F05A02,인력공급/고용알선,,,50,제주특별자치도,50130,서귀포시,5013054000,천지동,5013010100,서귀동,5.01E+18,1,대지,300,6,제주특별자치도 서귀포시 서귀동 300-6,5.01E+11,제주특별자치도 서귀포시 천지로,54,,5.01E+24,,제주특별자치도 서귀포시 천지로 54,697844,63593,,1,,126.5595517,33.25207117
21649723,유영보일러,,D,소매,D21,철물/난방/건설자재소매,D21A02,보일러/냉난방용품,G47511,철물 및 난방용구 소매업,50,제주특별자치도,50110,제주시,5011025000,한림읍,5011025035,한림읍,5.01E+18,1,대지,889,1,제주특별자치도 제주시 한림읍 한수리 889-1,5.01E+11,제주특별자치도 제주시 한림읍 한수5길,8,,5.01E+24,,제주특별자치도 제주시 한림읍 한수5길 8,695933,63031,,1,,126.2633288,33.421781
28515283,더들집,,O,숙박,O03,캠프/별장/펜션,O03A01,캠프/별장/펜션,I55119,기타 관광숙박시설 운영업,50,제주특별자치도,50110,제주시,5011025600,구좌읍,5011025621,구좌읍,5.01E+18,1,대지,1607,,제주특별자치도 제주시 구좌읍 동복리 1607,5.01E+11,제주특별자치도 제주시 구좌읍 동복로1길,23,3,5.01E+24,,제주특별자치도 제주시 구좌읍 동복로1길 23-3,695972,63347,,,,126.7128798,33.55431486
21649410,남원종합장식,,D,소매,D07,가정/주방/인테리어,D07A14,지물판매,G47513,벽지 및 장판류 소매업,50,제주특별자치도,50130,서귀포시,5013025300,남원읍,5013025321,남원읍,5.01E+18,1,대지,1342,9,제주특별자치도 서귀포시 남원읍 남원리 1342-9,5.01E+11,제주특별자치도 서귀포시 남원읍 태위로,635,,5.01E+24,,제주특별자치도 서귀포시 남원읍 태위로 635,699941,63621,,,,126.714641,33.27807901
24491114,해냄교육,,D,소매,D13,책/서적/도서,D13A03,서적/신문소매,G47611,서적 및 잡지류 소매업,50,제주특별자치도,50110,제주시,5011066000,노형동,5011012200,노형동,5.01E+18,1,대지,728,,제주특별자치도 제주시 노형동 728,5.01E+11,제주특별자치도 제주시 과원북4길,27,,5.01E+24,보성빌딩,제주특별자치도 제주시 과원북4길 27,690802,63085,,,,126.4853406,33.48130982
20650790,월계,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,50,제주특별자치도,50110,제주시,5011063000,아라동,5011013500,월평동,5.01E+18,1,대지,1088,2,제주특별자치도 제주시 월평동 1088-2,5.01E+11,제주특별자치도 제주시 월평1길,8,,5.01E+24,,제주특별자치도 제주시 월평1길 8,690130,63311,,,,126.5737968,33.47171171
21650249,우현청과,,D,소매,D01,음/식료품소매,D01A13,청과물소매,G47214,과실 및 채소 소매업,50,제주특별자치도,50110,제주시,5011060000,화북동,5011011200,화북이동,5.01E+18,1,대지,2979,18,제주특별자치도 제주시 화북이동 2979-18,5.01E+11,제주특별자치도 제주시 황사평6길,69,1,5.01E+24,,제주특별자치도 제주시 황사평6길 69-1,690838,63305,,1,,126.5612099,33.4938443
21559723,대우자동차제주정비사업소,,F,생활서비스,F14,자동차/이륜차,F14A01,자동차정비/카센타,,,50,제주특별자치도,50110,제주시,5011060000,화북동,5011011100,화북일동,5.01E+18,1,대지,2163,2,제주특별자치도 제주시 화북일동 2163-2,5.01E+11,제주특별자치도 제주시 선반남2길,63,,5.01E+24,,제주특별자치도 제주시 선반남2길 63,690838,63299,,1,,126.5661801,33.51284408
28518180,섬집오후,,O,숙박,O03,캠프/별장/펜션,O03A01,캠프/별장/펜션,I55119,기타 관광숙박시설 운영업,50,제주특별자치도,50110,제주시,5011025900,조천읍,5011025923,조천읍,5.01E+18,1,대지,3083,,제주특별자치도 제주시 조천읍 조천리 3083,5.01E+11,제주특별자치도 제주시 조천읍 조천7길,19,11,5.01E+24,,제주특별자치도 제주시 조천읍 조천7길 19-11,695964,63331,,,,126.6343304,33.53824553
21646797,중문골프존클럽,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,50,제주특별자치도,50130,서귀포시,5013061000,중문동,5013011200,중문동,5.01E+18,1,대지,1923,4,제주특별자치도 서귀포시 중문동 1923-4,5.01E+11,제주특별자치도 서귀포시 천제연로,244,,5.01E+24,골프연습장,제주특별자치도 서귀포시 천제연로 244,697857,63546,,,,126.4308239,33.25100022
20821519,잉글리쉬프렌즈,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,50,제주특별자치도,50110,제주시,5011065000,연동,5011013700,연동,5.01E+18,1,대지,314,40,제주특별자치도 제주시 연동 314-40,5.01E+11,제주특별자치도 제주시 비월길,19,,5.01E+24,,제주특별자치도 제주시 비월길 19,690815,63134,,2,,126.4973452,33.48393529
20554069,해맞이동산,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,50,제주특별자치도,50130,서귀포시,5013032000,표선면,5013032023,표선면,5.01E+18,1,대지,2060,1,제주특별자치도 서귀포시 표선면 성읍리 2060-1,5.01E+11,제주특별자치도 서귀포시 표선면 번영로,2658,2,5.01E+24,,제주특별자치도 서귀포시 표선면 번영로 2658-2,699912,63624,,,,126.7872147,33.39829273
20554140,진산,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,50,제주특별자치도,50110,제주시,5011052000,일도2동,5011010200,일도이동,5.01E+18,1,대지,138,17,제주특별자치도 제주시 일도이동 138-17,5.01E+11,제주특별자치도 제주시 동문로,146,,5.01E+24,,제주특별자치도 제주시 동문로 146,690832,63250,,1,,126.5419058,33.51307462
21598438,남양리조텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,50,제주특별자치도,50130,서귀포시,5013052000,정방동,5013010100,서귀동,5.01E+18,1,대지,163,11,제주특별자치도 서귀포시 서귀동 163-11,5.01E+11,제주특별자치도 서귀포시 태평로,438,,5.01E+24,남양리조텔,제주특별자치도 서귀포시 태평로 438,697841,63595,,1,,126.567071,33.24568445
28516831,흙집휴펜션,,O,숙박,O03,캠프/별장/펜션,O03A01,캠프/별장/펜션,I55119,기타 관광숙박시설 운영업,50,제주특별자치도,50110,제주시,5011025300,애월읍,5011025325,애월읍,5.01E+18,1,대지,1319,1,제주특별자치도 제주시 애월읍 수산리 1319-1,5.01E+11,제주특별자치도 제주시 애월읍 하소로,302,,5.01E+24,,제주특별자치도 제주시 애월읍 하소로 302,695911,63056,,,,126.3901455,33.45578577
24507866,제주공방,,D,소매,D07,가정/주방/인테리어,D07A01,인테리어/욕실용품/커튼,G47599,그외 기타 분류안된 가정용품 소매업,50,제주특별자치도,50110,제주시,5011065000,연동,5011013700,연동,5.01E+18,1,대지,272,33,제주특별자치도 제주시 연동 272-33,5.01E+11,제주특별자치도 제주시 신대로12길,51,,5.01E+24,로얄쇼핑센타및오피스텔,제주특별자치도 제주시 신대로12길 51,690720,63124,,1,,126.4911646,33.48855736
